Customer_ID,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
8443933,170.01,93.17,283.74,34.85,30.91,36.87
8452050,126.18,100.89,168.02,70.84,106.25,113.82
8456482,217.55,100.02,309.50,28.69,36.51,
8457441,173.47,85.89,341.70,25.90,22.06,
8458513,198.73,98.15,285.39,50.88,38.38,22.45
8470027,118.07,159.62,212.45,84.88,108.02,
8476387,333.99,1138.25,195.21,1.55,1.83,
8482947,192.96,193.80,,4.25,4.25,
8486170,196.17,86.68,359.65,33.50,48.20,
8490653,196.17,183.84,60.34,14.88,11.70,19.10
8495864,218.23,239.63,95.50,5.56,3.87,8.16
8500422,133.57,35.46,221.37,111.80,91.48,87.43
8504839,111.29,84.43,170.92,100.20,122.46,112.63
8506501,190.90,62.70,14.52,1.74,1.67,7.08
8507028,79.88,87.77,201.83,77.38,116.07,
8514324,454.87,1157.07,276.11,8.91,8.57,
8514326,177.25,167.63,175.05,100.72,75.98,
8515204,52.10,521.59,91.92,13.84,18.35,
8515599,257.34,85.53,295.39,20.93,31.39,24.10
8517142,200.34,118.22,,52.43,48.39,
8517978,212.95,119.41,344.64,41.64,46.95,
8527230,157.55,32.22,17.14,9.66,7.91,
8527362,303.85,97.08,365.89,61.16,52.10,
8529487,159.22,57.23,43.16,10.48,9.68,
8531956,155.28,90.34,270.38,27.66,41.49,
8536181,289.21,95.70,,24.41,27.53,
8540033,124.53,207.62,42.33,14.49,17.71,
8541671,146.87,63.97,189.53,91.06,91.06,113.00
8544731,178.29,42.39,52.78,11.57,13.59,
8558262,258.26,101.91,319.62,25.16,21.44,27.85
8563564,203.03,120.69,,67.86,55.52,
8567641,165.15,30.27,52.49,11.46,8.30,5.41
8568093,150.28,67.95,,98.60,80.68,
8571958,101.81,92.94,171.36,83.67,90.65,
8572771,219.57,80.61,,20.32,30.47,
8577187,367.41,1001.91,249.25,58.29,56.00,23.48
8585554,168.11,92.55,169.80,83.03,79.77,109.82
8587204,177.53,96.22,283.29,52.40,44.63,23.78
8588545,267.51,126.03,523.45,40.65,53.89,
8590837,69.92,38.54,189.69,71.87,69.06,97.97
8590962,83.67,85.01,219.09,70.12,70.12,
8593029,263.68,86.95,333.26,32.89,35.64,
8593699,247.73,963.92,154.79,24.45,19.21,24.54
8599097,250.18,98.14,241.45,41.92,62.88,31.36
